"ROK";"OBJECTID";"KOD_LOKALITA";"KOD_LOK";"NAZ_LOKAL";"PUVODNI_NAZEV";"PUVODNI_KOD";"MON_DRUH";"DATUM_MONIT";"MONITOROVATEL";"NOC_MONIT";"ABI_TEPLOTA";"ABI_VITR";"ABI_POCASI";"ABI_POZNAMKA";"STA_STAVVODAPERIODTUN";"STA_STAVVODALITORAL";"STA_PRUHLEDNOSTVODA";"STA_PRUHLEDNOSTVODAPOZN";"STA_ZABARVENIZAKAL";"STA_DUVODZABARVENIZAKAL";"STA_VEKSLOZENIRYBOBSADKA";"STA_POKRVEGETACE";"STA_POZNAMKA";"DALŠÍ_DRUHY2";"STA_DRUHRVEGRASA";"STA_DRUHRVEG1";"STA_DRUHRVEG2";"STA_DRUHVEGJINY";"VLV_VLIVY";"VLV_CINNOSTDOPAD";"VLV_POZNAMKA";"POP_VYSKYTDRUH";"POP_CELKPOCETVSEEXEMPLAR";"POP_CELKPOCETVSEEXEMPLARREL";"POP_CELKPOCETVSEADULT";"POP_CELKPOCETVSEADULTREL";"POP_POCETSAMEC";"POP_POCETSAMECREL";"POP_POCETSAMICE";"POP_POCETSAMICEREL";"POP_POCETPOHLNEURCENYADULT";"POP_POCETPOHLNEURCENYADULTREL";"POP_POCETMRTVYJEDINEC";"POP_POCETMRTVYJEDINECREL";"POP_CELKPOCETVSESUBADULT";"POP_CELKPOCETVSESUBADULTREL";"POP_POCETJUVENIL";"POP_POCETJUVENILREL";"POP_POCETLARVA";"POP_POCETLARVAREL";"POP_POCETMETAMORF";"POP_POCETMETAMORFREL";"POP_CELKPOCETVSESNUSKA";"POP_CELKPOCETVSESNUSKAREL";"POP_PLOCHASNUSKA";"POP_POZNAMKA";"CREATIONDATE";"CREATOR";"EDITDATE";"EDITOR";"STA_SLEDOVANIEVL";"STA_ZOOPLANKTON";"STA_KACHNALOV";"STA_ZASTINENI";"POP_VYSKYTDRUH.1";"POP_PLOCHASNUSKA_M2";"SITECODE";"EVL_SITECODE";"STA_STAVVODA";"STA_ZABARVENIZAKAL_POZN";"STA_KACHNAPRITOMNOST";"STA_KACHNA";"STA_MANIPULACE";"STA_ZASTINENIHLADINA";"STA_KONTAMINACE";"STA_PLISEN";"POP_DRUHANONE";"CREATION_DATE";"EDIT_DATE"
2018;"";"";"amp252c";"Adameckı rybník I";"";"";"Bombina bombina";"20.06.2018 22:00";"Lukasz Nytra";"ne";21;"bezvìtøí";"jasno";NA;100;100;80;"na dno";"bez zákalu";NA;NA;70;NA;NA;NA;"okøehek menší, chrastice rákosovitá, orobinec širokolistı, rákos obecnı, sítina rozkladitá, abník jitrocelovı";NA;NA;"ne";NA;NA;"ano";NA;NA;NA;NA;"9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;"26.06.2018 11:37";"lukas.nytra";"26.06.2018 14:34";"lukas.nytra";"";"";"";NA;"";NA;"";"amp252c";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;"";"";"amp252c";"Adameckı rybník I";"";"";"Bombina bombina";"17.05.2017 22:00";"Zbynìk Sovík";NA;NA;NA;NA;NA;NA;NA;NA;"na dno";NA;NA;NA;NA;"Ji nìkolik let bez vody, zarùstá ruderální vegetací";NA;NA;NA;NA;NA;"ne";NA;NA;"ne";NA;NA;NA;NA;"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"19.05.2017 18:34";"zbynek_sovik";"19.05.2017 18:34";"zbynek_sovik";"";"";"";NA;"";NA;"";"amp252c";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp252a";"Adameckı rybník II, plocha 1";"";"";"Bombina bombina";"02.05.2018 22:00";"Lukasz Nytra";"ne";16;"bezvìtøí";"zataeno";NA;20;20;40;"odhad";"hnìdı";"zvíøené sedimenty";NA;70;NA;NA;NA;"orobinec širokolistı, orobinec úzkolistı, rákos obecnı";NA;NA;"ano";"eutrofizace, hromadìní organického materiálu (staøiny), vıvoj biocenózy, sukcese všeobecnì";"rozpadlá dìlící hráz";"ano";NA;NA;NA;NA;NA;"do 10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"03.05.2018 12:16";"lukas.nytra";"03.05.2018 12:16";"lukas.nytra";"";"";"";NA;"";NA;"";"amp252a";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp252a";"Adameckı rybník II, plocha 1";"";"";"Bombina bombina";"16.05.2018 22:00";"Lukasz Nytra";"ne";20;"slabı";"polojasno";NA;100;100;45;"secciho deskou";"hnìdı";"zvíøené sedimenty";NA;70;NA;NA;NA;"okøehek menší, orobinec širokolistı, orobinec úzkolistı, rákos obecnı, sítina rozkladitá";NA;NA;"ano";NA;"rozpadlá hráz";"ano";"30";NA;NA;NA;"30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"17.05.2018 11:11";"lukas.nytra";"17.05.2018 11:11";"lukas.nytra";"";"";"";NA;"";NA;"";"amp252a";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp252a";"Adameckı rybník II, plocha 1";"";"";"Bombina bombina";"20.06.2018 22:00";"Lukasz Nytra";"ne";24;"bezvìtøí";"jasno";NA;80;95;35;"";"hnìdı";"zvíøené sedimenty";NA;75;NA;NA;NA;"orobinec širokolistı, orobinec úzkolistı, rákos obecnı, sítina rozkladitá, abník jitrocelovı";NA;NA;"ano";"vıvoj biocenózy, sukcese všeobecnì";"protrená hráz";"ne";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"26.06.2018 11:37";"lukas.nytra";"26.06.2018 14:03";"lukas.nytra";"";"";"";NA;"";NA;"";"amp252a";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;"";"";"amp252a";"Adameckı rybník II, plocha 1";"";"";"Bombina bombina";"17.05.2017 22:00";"Zbynìk Sovík";NA;NA;NA;NA;NA;NA;NA;NA;"na dno";"bez zákalu";NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ano";NA;NA;NA;NA;"5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"19.05.2017 18:34";"zbynek_sovik";"19.05.2017 18:34";"zbynek_sovik";"";"";"";NA;"";NA;"";"amp252a";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp252b";"Adameckı rybník II, plocha 2";"";"";"Bombina bombina";"02.05.2018 22:00";"Lukasz Nytra";"ne";16;"bezvìtøí";"zataeno";NA;95;90;35;"na dno";"hnìdı";"zvíøené sedimenty";NA;2;NA;NA;NA;NA;NA;NA;"ano";"eutrofizace, hnojení, chov ryb intensita, zarùstání bøehù náletovımi døevinami";NA;"ne";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"03.05.2018 12:16";"lukas.nytra";"03.05.2018 12:16";"lukas.nytra";"";"";"";NA;"";NA;"";"amp252b";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp252b";"Adameckı rybník II, plocha 2";"";"";"Bombina bombina";"16.05.2018 22:00";"Lukasz Nytra";"ne";20;"slabı";"polojasno";NA;100;100;35;"na dno";"hnìdı";"zvíøené sedimenty";NA;1;NA;NA;NA;"orobinec širokolistı";NA;NA;"ano";"chov ryb intensita";NA;"ne";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"17.05.2018 11:11";"lukas.nytra";"17.05.2018 11:11";"lukas.nytra";"";"";"";NA;"";NA;"";"amp252b";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp252b";"Adameckı rybník II, plocha 2";"";"";"Bombina bombina";"20.06.2018 22:00";"Lukasz Nytra";"ne";24;"bezvìtøí";"jasno";NA;100;100;30;"na dno";"hnìdı";"zvíøené sedimenty";NA;1;NA;NA;NA;NA;NA;NA;"ano";"chov ryb intensita";NA;"ne";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"26.06.2018 11:37";"lukas.nytra";"26.06.2018 14:01";"lukas.nytra";"";"";"";NA;"";NA;"";"amp252b";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;"";"";"amp252b";"Adameckı rybník II, plocha 2";"";"";"Bombina bombina";"17.05.2017 22:00";"Zbynìk Sovík";NA;NA;NA;NA;NA;NA;NA;NA;"na dno";"hnìdı";"zvíøené sedimenty";NA;5;NA;NA;NA;NA;NA;NA;"ano";"chov ryb intensita";NA;"ano";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"19.05.2017 18:34";"zbynek_sovik";"19.05.2017 18:34";"zbynek_sovik";"";"";"";NA;"";NA;"";"amp252b";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;"";"";"amp81";"Albericky rybník";"";"";"Bombina bombina";"15.05.2017 22:00";"Jana Jiskrová";NA;NA;NA;NA;NA;NA;0;NA;"na dno";NA;NA;NA;NA;"rybník je vypuštìny";NA;NA;NA;NA;NA;"ano";NA;"vypuštìny";"ne";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"16.05.2017 9:40";"jana.jiskrova";"16.05.2017 9:40";"jana.jiskrova";"";"";"";NA;"";NA;"";"amp81";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;"";"";"amp81";"Albericky rybník";"";"";"Bombina bombina";"22.06.2017 22:00";"Jana Jiskrová";NA;NA;NA;NA;NA;NA;30;100;"na dno";"bez zákalu";NA;NA;25;"Rybnik castecne napusten, Horni Albericky: Bombina bomb. Do 10 hlas, Pel. less. do 10 splouchnuti";NA;NA;NA;NA;NA;"ano";"regulování vodní hladiny,zaplavování pozdní";NA;"ano";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"23.06.2017 9:39";"jana.jiskrova";"23.06.2017 9:39";"jana.jiskrova";"";"";"";NA;"";NA;"";"amp81";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp81";"Albeøické rybníky";"";"";"Bombina bombina";"04.05.2018 22:00";"Jana Jiskrová";"ne";19;"silnı";"polojasno";NA;5;5;40;"a na dno";"bez zákalu";NA;"plùdek";NA;"rybník vypuštìn";NA;NA;"orobinec úzkolistı, ostøice";NA;"Potamogeton";"ano";NA;"rybník vypuštìn - jarní vılov plùdku";"ne";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"08.01.2019 12:25";"jana.jiskrova";"08.01.2019 12:46";"jana.jiskrova";"";"";"";NA;"";NA;"";"amp81";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp81";"Albeøické rybníky";"";"";"Bombina bombina";"04.06.2018 22:00";"Jana Jiskrová";"ne";26;"slabı";"jasno";NA;20;20;40;"a na dno";"bez zákalu";NA;"plùdek";40;"rybník napuštìn z 20 %";NA;NA;"orobinec úzkolistı, ostøice";NA;"Potemogeton";"ano";NA;"jarní vılov plùdku";"ne";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"v horním Albeøickém rybníku niší desítky Bombina bombina";"08.01.2019 12:37";"jana.jiskrova";"08.01.2019 12:47";"jana.jiskrova";"";"";"";NA;"";NA;"";"amp81";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019;"";"";"amp81";"Albeøické rybníky";"";"";"Bombina bombina";"07.06.2019 22:00";"Jana Jiskrová";"ne";18;"bezvìtøí";"zataeno";NA;90;90;40;"a na dno";"bez zákalu";NA;"neznámá";40;NA;NA;NA;"chrastice rákosovitá, orobinec úzkolistı, ostøice";NA;NA;"ne";NA;NA;"ano";NA;NA;NA;NA;NA;"øádovì niší desítky";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"09.12.2019 13:46";"jana.jiskrova";"09.12.2019 13:46";"jana.jiskrova";"";"";"";NA;"";NA;"";"amp81";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019;"";"";"amp81";"Albeøické rybníky";"";"";"Bombina bombina";"26.06.2019 22:00";"Jana Jiskrová";"ne";32;"slabı";"jasno";NA;90;90;40;"a na dno";"bez zákalu";NA;"neznámá";40;NA;NA;NA;"chrastice rákosovitá, orobinec úzkolistı, ostøice";NA;NA;"ne";NA;NA;"ano";NA;NA;NA;NA;NA;"øádovì niší desítky";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"09.12.2019 13:47";"jana.jiskrova";"09.12.2019 13:47";"jana.jiskrova";"";"";"";NA;"";NA;"";"amp81";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019;"";"";"amp292";"Bohuslavice - koupalištì";"";"";"Triturus cristatus";"26.05.2019 22:00";"Daniela Peèínková";"ne";15;"slabı";"polojasno";"";NA;NA;NA;"";"";"";"";NA;"hodnì potápníkù, larev váek";NA;"";"";"";"";"";"";"";"ano";"";"";NA;"";"";"";NA;"";NA;"";NA;"";18;"";NA;"";NA;"";NA;"";"";"";NA;"4 samci, 14 samic";"21.08.2019 10:57";"daniela.pecinkova";"21.08.2019 10:57";"daniela.pecinkova";"";"";"";NA;"";NA;"";"amp292";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019;"";"";"amp292";"Bohuslavice - koupalištì";"";"";"Triturus cristatus";"27.06.2019 22:00";"Daniela Peèínková";"ne";28;"bezvìtøí";"jasno";"";NA;50;NA;"";"zelenı";"vegetaèní zákal";"";NA;"";NA;"";"";"";"silnı povlak zelenıch øas";"ano";"eutrofizace, zarùstání bøehù náletovımi døevinami";"";"ano";"";"";NA;"";"";"";NA;"";NA;"";NA;"";NA;"";NA;"";4;"";NA;"";"";"";NA;"4 larvy èolek velkı - samec, 1 larva èolek velkı - samice";"27.08.2019 13:32";"daniela.pecinkova";"27.08.2019 13:32";"daniela.pecinkova";"";"";"";NA;"";NA;"";"amp292";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp292";"Bohuslavice - koupalištì";"";"";"Triturus cristatus";"30.04.2018 22:00";"Jana Matrková";"ne";21;"slabı";"jasno";"9:40";NA;NA;NA;"a na dno (cca 30 cm)";"bez zákalu";"";"bez ryb";NA;"málo vody - hloubka cca do 30 cm, pøítok je ale protéká poerák (domluveno zastavení)";NA;"";"";"";"zbytky starıch øas (èásteènì vyèištìno; zbytky brání ve vıhledu do vody)";"ano";"regulování vodní hladiny, eutrofizace";"eutrofizace a zarùstání øasami (zbytky starıch øas), málo vody - protéká poerák";"";"0";"ádné";NA;"";"";"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";"";"";NA;"èolek velkı v koupališti nepotvrzen";"19.12.2018 10:11";"jana_matrkova_aopk";"19.12.2018 13:55";"jana_matrkova_aopk";"";"";"";NA;"";NA;"";"amp292";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp292";"Bohuslavice - koupalištì";"";"";"Triturus cristatus";"21.06.2018 22:00";"Daniela Peèínková";"ne";22;"";"";"";NA;NA;NA;"";"";"";"";NA;"";NA;"";"";"";"";"ano";"";"nálety rozrušují bøehy koupalištì";"";"";"øádovì stovky";NA;"";"";"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"øádovì stovky";NA;"";"";"";NA;"";"27.12.2018 10:45";"daniela.pecinkova";"27.12.2018 10:45";"daniela.pecinkova";"";"";"";NA;"";NA;"";"amp292";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019;"";"";"amp291";"Bohuslavice - tùnì";"";"";"Triturus cristatus";"26.05.2019 22:00";"Daniela Peèínková";"ne";NA;"";"";"";NA;NA;NA;"";"";"";"";NA;"plovatka bahenní ";NA;"";"";"";"";"";"";"";"ano";"";"";NA;"";"";"";NA;"";NA;"";NA;"";2;"";NA;"";NA;"";NA;"";"";"";NA;"tùò 4a - 2 samci èolka velkého (subadult)";"21.08.2019 10:57";"daniela.pecinkova";"21.08.2019 10:57";"daniela.pecinkova";"";"";"";NA;"";NA;"";"amp291";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;"";"";"amp291";"Bohuslavice - tùnì";"";"";"Triturus cristatus";"30.04.2018 22:00";"Jana Matrková";"ne";21;"slabı";"jasno";"9:40";NA;NA;NA;"";"";"";"";77;"tùnì zakleslé - nìkteré zcela vyschlé, jiné cca do 30 cm vody, ty nejvìtší cca do 50 cm";NA;"";"";"";"okøehek, orobinec, ostøice, hvìzdoš, pøeslièka poøíèní, trávy";"ano";"vysychání (mokøadního ekosystému)";"";"";"0";"";NA;"";"";"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";NA;"";"";"";NA;"èolek velkı nezjištìn";"19.12.2018 10:11";"jana_matrkova_aopk";"19.12.2018 13:57";"jana_matrkova_aopk";"";"";"";NA;"";NA;"";"amp291";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
