Group,Species,Species_CZ
Měkkýši,Margaritifera margaritifera,perlorodka říční
Měkkýši,Unio crassus,velevrub tupý
Měkkýši,Vertigo angustior,vrkoč útlý
Měkkýši,Vertigo geyeri,vrkoč Geyerův
Měkkýši,Vertigo moulinsiana,vrkoč bažinný
Korýši,Austropotamobius torrentium,rak kamenáč
Vážky,Coenagrion ornatum,šidélko ozdobné
Vážky,Cordulegaster heros,páskovec velký
Vážky,Leucorrhinia pectoralis,vážka jasnoskvrnná
Vážky,Ophiogomphus cecilia,klínatka rohatá
Rovnokřídlí,Stenobothrus eurasius bohemicus,saranče skalní
Motýli,Colias myrmidone,žluťásek barvoměnný
Motýli,Eriogaster catax,bourovec trnkový
Motýli,Euphydryas aurinia,hnědásek chrastavcový
Motýli,Euphydryas maturna,hnědásek osikový
Motýli,Euplagia quadripunctaria,přástevník kostivalový
Motýli,Lycaena dispar,ohniváček černočárný
Motýli,Phengaris nausithous,modrásek bahenní
Motýli,Phengaris teleius,modrásek očkovaný
Brouci,Bolbelasmus unicornis,chrobák jednorohý
Brouci,Carabus hungaricus,střevlík panonský
Brouci,Carabus menetriesi pacholei,střevlík Ménétriésův
Brouci,Carabus variolosus,střevlík hrbolatý
Brouci,Cerambyx cerdo,tesařík obrovský
Brouci,Cucujus cinnaberinus,lesák rumělkový
Brouci,Graphoderus bilineatus,potápník dvojčárý
Brouci,Limoniscus violaceus,kovařík fialový
Brouci,Lucanus cervus,roháč obecný
Brouci,Osmoderma barnabita,páchník hnědý
Brouci,Rhysodes sulcatus,rýhovec pralesní
Brouci,Rosalia alpina,tesařík alpský
Ryby a mihule,Acipenser ruthenus,jeseter malý
Ryby a mihule,Cobitis elongatoides,sekavec podunajský
Ryby a mihule,Cobitis taenia,sekavec písečný
Ryby a mihule,Cobitis tanaitica,sekavec černomořský
Ryby a mihule,Cottus gobio,vranka obecná
Ryby a mihule,Eudontomyzon mariae,mihule ukrajinská
Ryby a mihule,Gymnocephalus baloni,ježdík dunajský
Ryby a mihule,Gymnocephalus schraetser,ježdík žlutý
Ryby a mihule,Lampetra planeri,mihule potoční
Ryby a mihule,Leuciscus aspius,bolen dravý
Ryby a mihule,Misgurnus fossilis,piskoř pruhovaný
Ryby a mihule,Pelecus cultratus,ostrucha křivočará
Ryby a mihule,Rhodeus amarus,hořavka duhová
Ryby a mihule,Romanogobio banaticus,hrouzek banátský
Ryby a mihule,Romanogobio belingi,hrouzek Belingův
Ryby a mihule,Romanogobio vladykovi,hrouzek Vladykovův
Ryby a mihule,Rutilus virgo,plotice podunajská
Ryby a mihule,Sabanejewia balcanica,sekavčík balkánský
Ryby a mihule,Salmo salar,losos obecný
Ryby a mihule,Zingel streber,drsek menší
Ryby a mihule,Zingel zingel,drsek větší
Obojživelníci,Bombina bombina,kuňka obecná
Obojživelníci,Bombina variegata,kuňka žlutobřichá
Obojživelníci,Lissotriton montandoni,čolek karpatský
Obojživelníci,Triturus carnifex,čolek dravý
Obojživelníci,Triturus cristatus,čolek velký
Obojživelníci,Triturus dobrogicus,čolek dunajský
Netopýři,Barbastella barbastellus,netopýr černý
Netopýři,Myotis bechsteinii,netopýr velkouchý
Netopýři,Myotis blythii,netopýr východní
Netopýři,Myotis dasycneme,netopýr pobřežní
Netopýři,Myotis emarginatus,netopýr brvitý
Netopýři,Myotis myotis,netopýr velký
Netopýři,Rhinolophus hipposideros,vrápenec malý
Savci,Canis lupus,vlk obecný
Savci,Castor fiber,bobr evropský
Savci,Lutra lutra,vydra říční
Savci,Lynx lynx,rys ostrovid
Savci,Mustela eversmanii,tchoř stepní
Savci,Spermophilus citellus,sysel obecný
Savci,Ursus arctos,medvěd hnědý
