SITECODE,NAZEV,SUBJECT,SIZE
CZ0513506,Horní Plouènice,"otevøené trávníky kontinentálních dun s palièkovcem (Corynephorus) a psineèkem (Agrostis) (2330), tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek (3140), pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), pøechodová rašeliništì a tøasovištì (7140), rašelinnı les (91D0), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), klínatka rohatá (Ophiogomphus cecilia), losos obecnı (Salmo salar), modrásek bahenní (Phengaris nausithous), modrásek oèkovanı (Phengaris teleius), pøástevník kostivalovı (Euplagia quadripunctaria), vrkoè bainnı (Vertigo moulinsiana), vydra øíèní (Lutra lutra)",873.5374
CZ0213785,Horní solopyskı rybník,kuòka ohnivá (Bombina bombina),20.7986
CZ0423212,Hoøenec - Èíèov,pøástevník kostivalovı (Euplagia quadripunctaria),20.831
CZ0724429,Hostınské vrchy,"jeskynì nepøístupné veøejnosti (8310), buèiny asociace Luzulo-Fagetum (9110), buèiny asociace Asperulo-Fagetum (9130), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), èolek karpatskı (Triturus montandoni), støevlík hrbolatı (Carabus variolosus)",2396.5918
CZ0623040,Hovoranskı hájek,roháè obecnı (Lucanus cervus),82.5564
CZ0414127,Hradištì,"pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), pionırská vegetace silikátovıch skal (Sedo-Scleranthion, Sedo albi-Veronicion dillenii) (8230), jeskynì nepøístupné veøejnosti (8310), buèiny asociace Asperulo-Fagetum (9130), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), eurosibiøské stepní doubravy (91I0), èolek velkı (Triturus cristatus), hnìdásek chrastavcovı (Euphydryas aurinia), koniklec otevøenı (Pulsatilla patens), losos obecnı (Salmo salar), modrásek bahenní (Phengaris nausithous)",33159.0685
CZ0213787,Hrachovištì,kuòka lutobøichá (Bombina variegata),62.8289
CZ0814093,Hranièní meandry Odry,"smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), hoøavka duhová (Rhodeus sericeus amarus), kuòka lutobøichá (Bombina variegata), lesák rumìlkovı (Cucujus cinnaberinus), páchník hnìdı (Osmoderma eremita)",125.8704
CZ0213023,Hrdlièka - ïánská hora,pøástevník kostivalovı (Euplagia quadripunctaria),68.0736
CZ0413014,Høivínovské pastviny,hnìdásek chrastavcovı (Euphydryas aurinia),13.7587
CZ0813447,Hukvaldy,páchník hnìdı (Osmoderma eremita),221.5898
CZ0423001,Huníkovskı potok,rak kamenáè (Austropotamobius torrentium),4.2579
CZ0714771,Hùrka u Hranic,"jeskynì nepøístupné veøejnosti (8310), netopır velkı (Myotis myotis)",37.354
CZ0713375,Hustopeèe - Štìrkáè,lesák rumìlkovı (Cucujus cinnaberinus),59.8452
CZ0533302,Choltická obora,"kuòka ohnivá (Bombina bombina), páchník hnìdı (Osmoderma eremita)",69.5223
CZ0423213,Chomutov - zoopark,"páchník hnìdı (Osmoderma eremita), roháè obecnı (Lucanus cervus)",44.3752
CZ0710182,Choryòskı mokøad,"pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), dubohabøiny asociace Galio-Carpinetum (9170), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), váka jasnoskvrnná (Leucorrhinia pectoralis)",217.7489
CZ0614136,Chotáry,"pøechodová rašeliništì a tøasovištì (7140), vrkoè Geyerùv (Vertigo geyeri)",7.1663
CZ0533303,Chrudimka,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), vydra øíèní (Lutra lutra)",230.0122
CZ0423652,Chøibská - kostel,netopır velkı (Myotis myotis),0.0649
CZ0724091,Chøiby,"polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia), vıznaèná nalezištì vstavaèovitıch - prioritní stanovištì (6210*), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), petrifikující prameny s tvorbou pìnovcù (Cratoneurion) (7220), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), jeskynì nepøístupné veøejnosti (8310), buèiny asociace Asperulo-Fagetum (9130), dubohabøiny asociace Galio-Carpinetum (9170), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), ohniváèek èernoèárnı (Lycaena dispar), páskovec velkı (Cordulegaster heros), tesaøík alpskı (Rosalia alpina), vrkoè útlı (Vertigo angustior)",19226.4512
CZ0713728,Chudobín,netopır velkı (Myotis myotis),0.0783
CZ0723406,Chvalèov,èolek velkı (Triturus cristatus),1.1934
CZ0314634,Chınovská jeskynì,"jeskynì nepøístupné veøejnosti (8310), netopır velkı (Myotis myotis)",2.9897
CZ0213789,Jablonná - mokøad,kuòka ohnivá (Bombina bombina),12.8579
CZ0813448,Jakartovice,modrásek bahenní (Phengaris nausithous),13.0193
CZ0623348,Jankovec,kuòka ohnivá (Bombina bombina),15.0626
CZ0723750,Jankovice - kostel,netopır velkı (Myotis myotis),0.0281
CZ0613321,Jankovskı potok,vydra øíèní (Lutra lutra),128.2712
CZ0513240,Janovické rybníky,váka jasnoskvrnná (Leucorrhinia pectoralis),1.8591
CZ0523273,Javorka a Cidlina - Sbìø,"modrásek bahenní (Phengaris nausithous), velevrub tupı (Unio crassus)",307.2919
CZ0813763,Javorovı vrch,"netopır èernı (Barbastella barbastellus), netopır velkı (Myotis myotis), vrápenec malı (Rhinolophus hipposideros)",83.0551
CZ0213790,Javùrek,èolek velkı (Triturus cristatus),16.4961
CZ0613698,Jeøišno-Heømaò,netopır velkı (Myotis myotis),0.0357
CZ0533687,Jeskynì Bìtník,vrápenec malı (Rhinolophus hipposideros),0.004
CZ0323638,Jeskynì Inkù,netopır èernı (Barbastella barbastellus),0.0398
CZ0513666,Jeskynì Sklepy pod Troskami,vrápenec malı (Rhinolophus hipposideros),0.0398
CZ0533688,Jeskynì u Horního Újezda,vrápenec malı (Rhinolophus hipposideros),8.00E-04
CZ0514042,Jestøebsko - Dokesko,"otevøené trávníky kontinentálních dun s palièkovcem (Corynephorus) a psineèkem (Agrostis) (2330), tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek (3140), pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), pøirozená dystrofní jezera a tùnì (3160), evropská suchá vøesovištì (4030), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), pøechodová rašeliništì a tøasovištì (7140), prolákliny na rašelinném podloí (Rhynchosporion) (7150), zásaditá slatiništì (7230), jeskynì nepøístupné veøejnosti (8310), buèiny asociace Luzulo-Fagetum (9110), rašelinnı les (91D0), støedoevropské lišejníkové bory (91T0), acidofilní smrèiny (Vaccinio-Piceetea) (9410), hlízovec Loeselùv (Liparis loeselii), koniklec otevøenı (Pulsatilla patens), páchník hnìdı (Osmoderma eremita), popelivka sibiøská (Ligularia sibirica), srpnatka fermeová (Hamatocaulis vernicosus), tesaøík alpskı (Rosalia alpina), váka jasnoskvrnná (Leucorrhinia pectoralis), vláskatec tajemnı (Trichomanes speciosum), vrkoè bainnı (Vertigo moulinsiana)",6929.6203
CZ0213791,Jezera,kuòka ohnivá (Bombina bombina),4.7252
CZ0523675,Jièínìves - zámek,vrápenec malı (Rhinolophus hipposideros),0.3731
CZ0813449,Jilešovice - Dìhylov,modrásek bahenní (Phengaris nausithous),18.816
CZ0423653,Jílové u Dìèína - škola,netopır velkı (Myotis myotis),0.07
CZ0523676,Josefov - pevnost,vrápenec malı (Rhinolophus hipposideros),41.4311
CZ0213601,Jungmannova škola v Berounì,netopır velkı (Myotis myotis),0.2147
CZ0523275,Kaèerov,"modrásek bahenní (Phengaris nausithous), modrásek oèkovanı (Phengaris teleius)",2.2238
CZ0213792,Kaèina,"lesák rumìlkovı (Cucujus cinnaberinus), páchník hnìdı (Osmoderma eremita)",196.7672
CZ0323149,Kakejcov,èolek velkı (Triturus cristatus),1.581
CZ0213028,Kalivody,kuòka ohnivá (Bombina bombina),13.0829
CZ0213029,Kalspot,èolek velkı (Triturus cristatus),4.2386
CZ0323150,Kamenec,"modrásek bahenní (Phengaris nausithous), modrásek oèkovanı (Phengaris teleius)",9.9802
CZ0523276,Kanice - lesní rybník,èolek velkı (Triturus cristatus),0.5373
CZ0324025,Kaòon Støely,"støedoevropské silikátové sutì (8150), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), buèiny asociace Luzulo-Fagetum (9110), dubohabøiny asociace Galio-Carpinetum (9170), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), pøástevník kostivalovı (Euplagia quadripunctaria)",358.4276
CZ0623368,Kaolinka ,èolek dravı (Triturus carnifex),5.0541
CZ0214007,Káranı - Hrbáèkovy tùnì,"pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), nivní louky øíèních údolí svazu Cnidion dubii (6440), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), zásaditá slatiništì (7230), dubohabøiny asociace Galio-Carpinetum (9170), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), èolek velkı (Triturus cristatus), roháè obecnı (Lucanus cervus)",348.0814
CZ0214017,Karlštejn - Koda,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), bahnité bøehy øek s vegetací svazù Chenopodion rubri p.p. a Bidention p.p. (3270), kontinentální opadavé køoviny (40A0), formace jalovce obecného (Juniperus communis) na vøesovištích nebo vápnitıch trávnících (5130), vápnité nebo bazické skalní trávníky (Alysso-Sedion albi) (6110), panonské skalní trávníky (Stipo-Festucetalia pallentis) (6190), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia), vıznaèná nalezištì vstavaèovitıch - prioritní stanovištì (6210*), petrifikující prameny s tvorbou pìnovcù (Cratoneurion) (7220), vápnité sutì pahorkatin a horského stupnì (8160), chasmofytická vegetace vápnitıch skalnatıch svahù (8210), jeskynì nepøístupné veøejnosti (8310), støedoevropské vápencové buèiny (Cephalanthero-Fagion) (9150), dubohabøiny asociace Galio-Carpinetum (9170), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), panonské šípákové doubravy (91H0), eurosibiøské stepní doubravy (91I0), netopır èernı (Barbastella barbastellus), netopır velkı (Myotis myotis), pøástevník kostivalovı (Euplagia quadripunctaria), roháè obecnı (Lucanus cervus), vèelník rakouskı (Dracocephalum austriacum), zvonovec liliolistı (Adenophora liliifolia)",2658.0247
CZ0813451,Karviná - rybníky,páchník hnìdı (Osmoderma eremita),9.8278
CZ0423215,Kateøina - mokøad,kuòka ohnivá (Bombina bombina),9.8511
CZ0323151,Kateøinskı a Nivní potok,"vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), bobr evropskı (Castor fiber)",980.1947
CZ0714075,Keprník,"alpínská a boreální vøesovištì (4060), silikátové alpínské a boreální trávníky (6150), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), aktivní vrchovištì (7110), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), buèiny asociace Luzulo-Fagetum (9110), rašelinnı les (91D0), acidofilní smrèiny (Vaccinio-Piceetea) (9410), støevlík hrbolatı (Carabus variolosus)",2542.9958
CZ0213794,Kerské rybníèky,èolek velkı (Triturus cristatus),9.2342
CZ0323812,Klabava,vranka obecná (Cottus gobio),2.5092
CZ0533698,Kladruby nad Labem,"lesák rumìlkovı (Cucujus cinnaberinus), páchník hnìdı (Osmoderma eremita)",450.0339
CZ0623781,Klentnice - kostel svatého Jiøí,netopır velkı (Myotis myotis),0.0211
CZ0724120,Knìpolskı les,"pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), hoøavka duhová (Rhodeus sericeus amarus), páchník hnìdı (Osmoderma eremita)",521.1706
CZ0623800,Kníecí les,kuòka ohnivá (Bombina bombina),11.3785
CZ0533696,Kochánovické rybníky a tùnì,"èolek velkı (Triturus cristatus), kuòka ohnivá (Bombina bombina)",19.4158
CZ0214013,Kokoøínsko,"tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek (3140), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), vápnitá slatiništì s maøicí pilovitou (Cladium mariscus) a druhy svazu Caricion davallianae (7210), zásaditá slatiništì (7230), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), pionırská vegetace silikátovıch skal (Sedo-Scleranthion, Sedo albi-Veronicion dillenii) (8230), jeskynì nepøístupné veøejnosti (8310), buèiny asociace Luzulo-Fagetum (9110), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), piskoø pruhovanı (Misgurnus fossilis), sekavec (Cobitis taenia), støevíèník pantoflíèek (Cypripedium calceolus), vláskatec tajemnı (Trichomanes speciosum), vrkoè bainnı (Vertigo moulinsiana), vrkoè útlı (Vertigo angustior)",9679.7813
CZ0213796,Kolín - letištì,sysel obecnı (Spermophilus citellus),22.3596
CZ0723751,Komòa - kostel,netopır velkı (Myotis myotis),0.0792
CZ0423216,Kopistská vısypka,"tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek (3140), èolek velkı (Triturus cristatus), kuòka ohnivá (Bombina bombina)",327.6803
CZ0714076,Kosíø - Lomy,"polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), chasmofytická vegetace vápnitıch skalnatıch svahù (8210), koniklec velkokvìtı (Pulsatilla grandis), pøástevník kostivalovı (Euplagia quadripunctaria)",41.8057
CZ0523677,Kost,vrápenec malı (Rhinolophus hipposideros),0.9432
CZ0313822,Koštìnickı potok,klínatka rohatá (Ophiogomphus cecilia),29.5954
CZ0723813,Kotrlé,vrkoè útlı (Vertigo angustior),0.4461
CZ0214037,Kotız,"vápnité nebo bazické skalní trávníky (Alysso-Sedion albi) (6110), panonské skalní trávníky (Stipo-Festucetalia pallentis) (6190), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), jeskynì nepøístupné veøejnosti (8310), pøástevník kostivalovı (Euplagia quadripunctaria)",29.0628
CZ0613322,Koupalištì u Bohuslavic,èolek velkı (Triturus cristatus),4.9666
CZ0423217,Krásnı Dvùr,páchník hnìdı (Osmoderma eremita),103.9764
CZ0313635,Kratochvíle - zámek,netopır velkı (Myotis myotis),0.0749
CZ0534053,Krkanka-Strádovské peklo,"extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), buèiny asociace Luzulo-Fagetum (9110), buèiny asociace Asperulo-Fagetum (9130), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), vranka obecná (Cottus gobio)",277.4949
CZ0524044,Krkonoše,"evropská suchá vøesovištì (4030), alpínská a boreální vøesovištì (4060), køoviny s borovicí kleèí (Pinus mugo) a pìnišníkem Rhododendron hirsutum (Mugo-Rhododendretum hirsuti) (4070), subarktické vrbové køoviny (4080), silikátové alpínské a boreální trávníky (6150), druhovì bohaté smilkové louky na silikátovıch podloích v horskıch oblastech (a v kontinentální Evropì v podhorskıch oblastech) (6230), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), horské seèené louky (6520), aktivní vrchovištì (7110), pøechodová rašeliništì a tøasovištì (7140), silikátové sutì horského a niválního stupnì (Androsacetalia alpinae a Galeopsietalia ladani) (8110), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), jeskynì nepøístupné veøejnosti (8310), buèiny asociace Luzulo-Fagetum (9110), buèiny asociace Asperulo-Fagetum (9130), støedoevropské subalpínské buèiny s javorem (Acer) a šovíkem horskım (Rumex arifolius) (9140), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), rašelinnı les (91D0), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), acidofilní smrèiny (Vaccinio-Piceetea) (9410), hoøeèek mnohotvarı èeskı (Gentianella praecox subsp. bohemica), svízel sudetskı (Galium sudeticum), vranka obecná (Cottus gobio), všivec krkonošskı (Pedicularis sudetica), zvonek èeskı (Campanula bohemica)",54979.594
CZ0624128,Krumlovsko-rokytenské slepence,"kontinentální opadavé køoviny (40A0), vápnité nebo bazické skalní trávníky (Alysso-Sedion albi) (6110), panonské skalní trávníky (Stipo-Festucetalia pallentis) (6190), subpanonské stepní trávníky (6240), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), hvozdík moravskı (Dianthus moravicus), koniklec velkokvìtı (Pulsatilla grandis), tesaøík obrovskı (Cerambyx cerdo)",96.1427
CZ0624064,Krumlovskı les,"bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), dubohabøiny asociace Galio-Carpinetum (9170), panonské dubohabøiny (91G0), eurosibiøské stepní doubravy (91I0), èolek velkı (Triturus cristatus), netopır èernı (Barbastella barbastellus)",1945.5222
CZ0414110,Krušnohorské plató,"evropská suchá vøesovištì (4030), druhovì bohaté smilkové louky na silikátovıch podloích v horskıch oblastech (a v kontinentální Evropì v podhorskıch oblastech) (6230), horské seèené louky (6520), aktivní vrchovištì (7110), pøechodová rašeliništì a tøasovištì (7140), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), støedoevropské subalpínské buèiny s javorem (Acer) a šovíkem horskım (Rumex arifolius) (9140), rašelinnı les (91D0), acidofilní smrèiny (Vaccinio-Piceetea) (9410), netopır velkı (Myotis myotis), støevlík Ménétriésùv (Carabus menetriesi pacholei)",11779.5896
CZ0313101,Krvavı a Kaèleskı rybník,"sekavec (Cobitis taenia), vydra øíèní (Lutra lutra)",561.6693
CZ0623709,Køetín - zámek,vrápenec malı (Rhinolophus hipposideros),0.0948
CZ0213610,Køivoklát - hrad,netopır velkı (Myotis myotis),1.2208
CZ0623710,Køtiny - kostel,"netopır velkı (Myotis myotis), vrápenec malı (Rhinolophus hipposideros)",0.1967
CZ0533307,Kunìtická hora,páchník hnìdı (Osmoderma eremita),26.941
CZ0624101,Kuntínov,"subpanonské stepní trávníky (6240), panonské dubohabøiny (91G0), eurosibiøské stepní doubravy (91I0), hadinec èervenı (Echium maculatum), pøástevník kostivalovı (Euplagia quadripunctaria), roháè obecnı (Lucanus cervus), støevíèník pantoflíèek (Cypripedium calceolus), vèelník rakouskı (Dracocephalum austriacum)",661.458
CZ0723409,Kurovice - lom,èolek velkı (Triturus cristatus),6.651
CZ0624065,Kvìtnice,"subpanonské stepní trávníky (6240), jeskynì nepøístupné veøejnosti (8310), støedoevropské vápencové buèiny (Cephalanthero-Fagion) (9150), dubohabøiny asociace Galio-Carpinetum (9170), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), panonské šípákové doubravy (91H0), vrápenec malı (Rhinolophus hipposideros)",127.5068
CZ0213038,Kyšice - Kobyla,èolek velkı (Triturus cristatus),20.3731
CZ0523277,Labe - Hostinné,vranka obecná (Cottus gobio),11.1501
CZ0424111,Labské údolí,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), bahnité bøehy øek s vegetací svazù Chenopodion rubri p.p. a Bidention p.p. (3270), evropská suchá vøesovištì (4030), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), jeskynì nepøístupné veøejnosti (8310), buèiny asociace Luzulo-Fagetum (9110), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), støedoevropské lišejníkové bory (91T0), bobr evropskı (Castor fiber), losos obecnı (Salmo salar), vydra øíèní (Lutra lutra), abníèek vzplıvavı (Luronium natans)",1372.3886
CZ0214008,Lánská obora,"pionırská vegetace silikátovıch skal (Sedo-Scleranthion, Sedo albi-Veronicion dillenii) (8230), buèiny asociace Luzulo-Fagetum (9110), buèiny asociace Asperulo-Fagetum (9130), dubohabøiny asociace Galio-Carpinetum (9170), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), staré acidofilní doubravy s dubem letním (Quercus robur) na písèitıch pláních (9190), kovaøík fialovı (Limoniscus violaceus), páchník hnìdı (Osmoderma eremita), tesaøík obrovskı (Cerambyx cerdo), velevrub tupı (Unio crassus)",2999.5048
CZ0213611,Ledce - hájovna,netopır velkı (Myotis myotis),0.0283
CZ0623016,Lednice - zámek,vrápenec malı (Rhinolophus hipposideros),0.9483
CZ0213814,Lednı potok,vranka obecná (Cottus gobio),1.6146
CZ0513662,Lemberk - zámek,vrápenec malı (Rhinolophus hipposideros),0.2474
CZ0623370,Letištì Marchanice,sysel obecnı (Spermophilus citellus),20.8751
CZ0623820,Letištì Medlánky,sysel obecnı (Spermophilus citellus),25.3646
CZ0714133,Libavá,"oligotrofní a mezotrofní stojaté vody níinného a subalpínského stupnì kontinentální a alpínské oblasti a horskıch poloh a jinıch oblastí, s vegetací tøíd Littorelletea uniflorae nebo Isoëto-Nanojuncetea (3130), pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), kontinentální opadavé køoviny (40A0), druhovì bohaté smilkové louky na silikátovıch podloích v horskıch oblastech (a v kontinentální Evropì v podhorskıch oblastech) (6230), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), pøechodová rašeliništì a tøasovištì (7140), støedoevropské silikátové sutì (8150), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), buèiny asociace Luzulo-Fagetum (9110), buèiny asociace Asperulo-Fagetum (9130), dubohabøiny asociace Galio-Carpinetum (9170), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), støevlík hrbolatı (Carabus variolosus), vranka obecná (Cottus gobio)",10773.4928
CZ0214009,Libické luhy,"pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), nivní louky øíèních údolí svazu Cnidion dubii (6440), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), kuòka ohnivá (Bombina bombina), lesák rumìlkovı (Cucujus cinnaberinus), páchník hnìdı (Osmoderma eremita), roháè obecnı (Lucanus cervus)",1478.7352
CZ0713734,Libina - U Èernuškù,netopır brvitı (Myotis emarginatus),0.055
CZ0323639,Liblín - lihovar,netopır velkı (Myotis myotis),0.03
CZ0523274,Libosad - obora,páchník hnìdı (Osmoderma eremita),42.2414
CZ0723752,Lideèko - kostel,netopır velkı (Myotis myotis),0.0307
CZ0623711,Lipov - kostel,netopır velkı (Myotis myotis),0.0609
CZ0713735,Lipová-láznì - mateøská školka,vrápenec malı (Rhinolophus hipposideros),0.0389
CZ0714073,Litovelské Pomoraví,"bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), jeskynì nepøístupné veøejnosti (8310), dubohabøiny asociace Galio-Carpinetum (9170), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), bobr evropskı (Castor fiber), èolek velkı (Triturus cristatus), klínatka rohatá (Ophiogomphus cecilia), kuòka ohnivá (Bombina bombina), modrásek bahenní (Phengaris nausithous), netopır èernı (Barbastella barbastellus), ohniváèek èernoèárnı (Lycaena dispar), svinutec tenkı (Anisus vorticulus), vydra øíèní (Lutra lutra)",9458.5647
CZ0423654,Lobendava - kostel,netopır velkı (Myotis myotis),0.0811
CZ0113005,Lochkovskı profil,pøástevník kostivalovı (Euplagia quadripunctaria),34.3074
CZ0213058,Lom na Plachtì,kuòka ohnivá (Bombina bombina),0.7687
CZ0313103,Lom Skalka u Sepekova,èolek velkı (Triturus cristatus),20.7119
CZ0623372,Lom u erùtek,èolek dravı (Triturus carnifex),2.6255
